id_proveedor,nombre_local,tipo_negocio,es_cadena
1,365 Kiosco San Lorenzo 3773 - Jumbo,Kiosco,True
2,Beauty Care - PedidosYa Market Villa Ballester,Supermercado,True
3,Berlina - Ballester,Restaurant,True
4,Burger King Ballester,Hamburguesas,True
5,Carrefour - Market Malaver (212),Supermercado,True
6,Che Sushi - Ballester,Sushi,True
7,Colonial - Villa Ballester,Helados,False
8,Cr Helados - Villa Ballester,Helados,True
9,Cremolatti San Andrés,Helados,True
10,Cremolatti Villa Ballester,Helados,True
11,Crispelwines,Bebidas,False
12,Dean & Dennys - San Martin,Hamburguesas,True
13,Dionisio Ballester,Restaurant,False
14,Don Antonio Pizzas Y Empanadas Villa Ballester,Pizzería,True
15,El Kiosco de Gus,Kiosco,False
16,Elba Jonazo Kiosco,Kiosco,False
17,Entrepanes,Restaurant,False
18,Fabric Sushi Villa Ballester,Sushi,True
19,Fabrica De Pizzas Villa Ballester 395,Pizzería,True
20,Grido Helados - 4175 - Villa Ballester,Helados,True
21,Grido Helados - 4887 - San Andres,Helados,True
22,Gutes,Restaurant,False
23,Hamburguesardas - San Martin,Hamburguesas,True
24,Helados Daniel - Ballester,Helados,True
25,Helados Veggam,Helados,False
26,Jumbo San Martín,Supermercado,True
27,Kiosco De Empanadas - Villa Ballester,Pizzería,True
28,La Caserita San Andrés,Restaurant,False
29,La Casita Ballester,Pizzería,False
30,La Ilusión - Ballester Alvear,Pastas,True
31,La Ilusión - Ballester Brown,Pastas,True
32,La Perla Pizzería,Restaurant,False
33,McDonald's Bal,Hamburguesas,True
34,McDonald's Smb,Hamburguesas,True
35,McDonald's Smj,Hamburguesas,True
36,Mi Barrio Hamburguesería - Villa Ballester,Hamburguesas,True
37,Mi Gusto - Ballester,Pizzería,True
38,Mostaza San Martin Auto,Hamburguesas,True
39,Napoles - Villa Adelina,Pizzería,False
40,Nutrican Factory San Martin,Pet Shop,True
41,Nyk's Villa Ballester,Kiosco,True
42,Parrilla Rondamón -,Parrilla,False
43,Pizzería las Amigas,Pizzería,False
44,Ris Food,Hamburguesas,False
45,Sabores Express Jose Leon Suarez,Pizzería,True
46,Sabores Express Villa Ballester 2,Pizzería,True
47,Solo Empanas Villa Ballester 2,Pizzería,True
48,Sushi Pop - Ballester,Sushi,True
49,Tequeños y Más Tequeño 222,Comida Venezolana,False
50,The Burger Coco,Hamburguesas,False
51,Varvarco Ballester,Restaurant,False
