id_tiempo,fecha,anio,mes,mes_nombre,dia,dia_semana_num,dia_semana_nombre,semana_anio,es_fin_de_semana
1,2025-04-12,2025,4,April,12,6,Saturday,15,True
2,2025-05-12,2025,5,May,12,1,Monday,20,False
3,2025-06-12,2025,6,June,12,4,Thursday,24,False
4,2025-07-12,2025,7,July,12,6,Saturday,28,True
5,2025-11-28,2025,11,November,28,5,Friday,48,False
6,2025-11-29,2025,11,November,29,6,Saturday,48,True
7,2025-11-30,2025,11,November,30,7,Sunday,48,True
8,2025-12-02,2025,12,December,2,2,Tuesday,49,False
9,2025-12-03,2025,12,December,3,3,Wednesday,49,False
10,2025-12-04,2025,12,December,4,4,Thursday,49,False
11,2025-12-05,2025,12,December,5,5,Friday,49,False
12,2025-12-06,2025,12,December,6,6,Saturday,49,True
